Movie Titles,Movie Ratings,Movie Genres,Movie Cast
Leo,77.6,"['Animation', 'Comedy', 'Family']","['Adam Sandler', 'Bill Burr', 'Cecily Strong', 'Jason Alexander', 'Rob Schneider', 'Allison Strong', 'Jo Koy', 'Sadie Sandler', 'Sunny Sandler']"
Trolls Band Together,71.96,"['Animation', 'Family', 'Music', 'Fantasy', 'Comedy']","['Anna Kendrick', 'Justin Timberlake', 'Camila Cabello', 'Eric André', 'Amy Schumer', 'Andrew Rannells', 'Daveed Diggs', 'Troye Sivan', 'Kid Cudi']"
Oppenheimer,81.53,"['Drama', 'History']","['Cillian Murphy', 'Emily Blunt', 'Matt Damon', 'Robert Downey Jr.', 'Florence Pugh', 'Josh Hartnett', 'Casey Affleck', 'Rami Malek', 'Kenneth Branagh']"
The Creator,71.31,"['Science Fiction', 'Action', 'Thriller']","['John David Washington', 'Madeleine Yuna Voyles', 'Gemma Chan', 'Allison Janney', 'Ken Watanabe', 'Sturgill Simpson', 'Amar Chadha-Patel', 'Marc Menchaca', 'Robbie Tann']"
Five Nights at Freddy's,78.52000000000001,"['Horror', 'Mystery']","['Josh Hutcherson', 'Piper Rubio', 'Elizabeth Lail', 'Matthew Lillard', 'Mary Stuart Masterson', 'Kat Conner Sterling', 'David Lind', 'Christian Stokes', 'Joseph Poliquin']"
Expend4bles,64.31,"['Action', 'Adventure', 'Thriller']","['Sylvester Stallone', 'Jason Statham', '50 Cent', 'Megan Fox', 'Dolph Lundgren', 'Iko Uwais', 'Andy García', 'Tony Jaa', 'Randy Couture']"
Fast X,72.02,"['Action', 'Crime', 'Thriller']","['Vin Diesel', 'Michelle Rodriguez', 'Tyrese Gibson', 'Ludacris', 'John Cena', 'Nathalie Emmanuel', 'Jordana Brewster', 'Sung Kang', 'Jason Momoa']"
Napoleon,64.53,"['Drama', 'History', 'War']","['Joaquin Phoenix', 'Vanessa Kirby', 'Tahar Rahim', 'Ben Miles', 'John Hollingworth', 'Youssef Kerkour', 'Davide Tucci', 'Edouard Philipponnat', 'Paul Rhys']"
Mission: Impossible - Dead Reckoning Part One,75.87,"['Action', 'Thriller']","['Tom Cruise', 'Hayley Atwell', 'Ving Rhames', 'Simon Pegg', 'Rebecca Ferguson', 'Vanessa Kirby', 'Esai Morales', 'Pom Klementieff', 'Henry Czerny']"
Jawan,72.0,"['Action', 'Adventure', 'Thriller']","['Shah Rukh Khan', 'Nayanthara', 'Vijay Sethupathi', 'Priyamani', 'Sanya Malhotra', 'Sunil Grover', 'Ridhi Dogra', 'Deepika Padukone', 'Lehar Khan']"
Princess Khutulun,71.28999999999999,"['History', 'Action', 'Drama']","['Tserendolgor Munkhbat', 'Altantur Altanjargal']"
The Hunger Games: The Ballad of Songbirds & Snakes,72.92,"['Action', 'Romance', 'Drama']","['Tom Blyth', 'Rachel Zegler', 'Josh Andrés Rivera', 'Peter Dinklage', 'Viola Davis', 'Hunter Schafer', 'Jason Schwartzman', 'Fionnula Flanagan', 'Mackenzie Lansing']"
The Survivor,72.15,"['History', 'Action', 'Drama']","['Ben Foster', 'Billy Magnussen', 'Vicky Krieps', 'Peter Sarsgaard', 'Saro Emirze', 'Danny DeVito', 'John Leguizamo', 'Dar Zuzovsky', 'Laurent Papot']"
The Super Mario Bros. Movie,77.46000000000001,"['Animation', 'Family', 'Adventure', 'Fantasy', 'Comedy']","['Chris Pratt', 'Anya Taylor-Joy', 'Charlie Day', 'Jack Black', 'Keegan-Michael Key', 'Seth Rogen', 'Fred Armisen', 'Sebastian Maniscalco', 'Charles Martinet']"
The Equalizer 3,74.2,"['Action', 'Thriller', 'Crime']","['Denzel Washington', 'Dakota Fanning', 'Eugenio Mastrandrea', 'David Denman', 'Gaia Scodellaro', 'Remo Girone', 'Andrea Scarduzio', 'Andrea Dodero', 'Daniele Perrone']"
The Marvels,66.0,"['Science Fiction', 'Adventure', 'Action']","['Brie Larson', 'Teyonah Parris', 'Iman Vellani', 'Zawe Ashton', 'Samuel L. Jackson', 'Gary Lewis', 'Park Seo-jun', 'Zenobia Shroff', 'Mohan Kapur']"
Dragon Ball: Mystical Adventure,67.69,"['Action', 'Animation']","['Masako Nozawa', 'Hiromi Tsuru', 'Mayumi Tanaka', 'Kōhei Miyauchi', 'Hirotaka Suzuoki', 'Hiroko Emori', 'Toru Furuya', 'Mitsuko Horie', 'Banjo Ginga']"
Believer 2,71.0,"['Crime', 'Action', 'Thriller']","['Cho Jin-woong', 'Cha Seung-won', 'Han Hyo-joo', 'Oh Seung-hoon', 'Kim Dong-young', 'Lee Joo-young', 'Jung Jun-won', 'Kang Seung-hyun', 'Jo Han-chul']"
Blue Beetle,69.44,"['Action', 'Science Fiction', 'Adventure']","['Xolo Mariduena', 'Bruna Marquezine', 'Susan Sarandon', 'Raoul Max Trujillo', 'Belissa Escobedo', 'Damián Alcázar', 'Elpidia Carrillo', 'George Lopez', 'Adriana Barraza']"
Meg 2: The Trench,67.41,"['Action', 'Science Fiction', 'Horror']","['Jason Statham', 'Wu Jing', 'Shuya Sophia Cai', 'Page Kennedy', 'Sergio Peris-Mencheta', 'Sienna Guillory', 'Cliff Curtis', 'Skyler Samuels', 'Melissanthi Mahut']"
Cobweb,68.0,['Horror'],"['Lizzy Caplan', 'Antony Starr', 'Cleopatra Coleman', 'Woody Norman', 'Luke Busey', 'Aleksandra Dragova', 'Jay Rincon', 'Anton Kottas', 'Steffanie Sampson']"
Mega Lightning,45.0,"['Action', 'Horror', 'Science Fiction']","['May Kelly', 'Kelly Rian Sanson', 'Gillian Broderick', 'Chris Cordell', 'Richard Kovacs', 'Maria Taylor', 'Karl Hughes', 'Lauren Staerck', 'Marcus Massey']"
Gran Turismo,80.0,"['Adventure', 'Action', 'Drama']","['Archie Madekwe', 'David Harbour', 'Orlando Bloom', 'Djimon Hounsou', 'Darren Barnet', 'Maeve Courtier-Lilley', 'Geri Horner', 'Daniel Puig', 'Josha Stradowski']"
Barbie,71.87,"['Comedy', 'Adventure', 'Fantasy']","['Margot Robbie', 'Ryan Gosling', 'America Ferrera', 'Kate McKinnon', 'Ariana Greenblatt', 'Simu Liu', 'Will Ferrell', 'Michael Cera', 'Helen Mirren']"
Transformers: Rise of the Beasts,74.55,"['Action', 'Adventure', 'Science Fiction']","['Anthony Ramos', 'Dominique Fishback', 'Peter Cullen', 'Ron Perlman', 'Peter Dinklage', 'Michelle Yeoh', 'Pete Davidson', 'Liza Koshy', 'Cristo Fernández']"
Elemental,77.26,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']","['Leah Lewis', 'Mamoudou Athie', 'Ronnie del Carmen', 'Shila Ommi', 'Wendi McLendon-Covey', ""Catherine O'Hara"", 'Mason Wertheimer', 'Ronobir Lahiri', 'Wilma Bonet']"
Avatar: The Way of Water,76.5,"['Science Fiction', 'Adventure', 'Action']","['Sam Worthington', 'Zoe Saldaña', 'Sigourney Weaver', 'Stephen Lang', 'Kate Winslet', 'Cliff Curtis', 'Joel David Moore', 'CCH Pounder', 'Edie Falco']"
PAW Patrol: The Mighty Movie,69.0,"['Animation', 'Family', 'Action', 'Science Fiction', 'Comedy']","['Mckenna Grace', 'Christian Convery', 'Taraji P. Henson', 'Kristen Bell', 'Lil Rel Howery', 'James Marsden', 'Finn Lee-Epp', 'Serena Williams', 'Alan Kim']"
Wish,67.42,"['Animation', 'Family', 'Fantasy', 'Adventure']","['Ariana DeBose', 'Chris Pine', 'Alan Tudyk', 'Angelique Cabral', 'Victor Garber', 'Natasha Rothwell', 'Jennifer Kumiyama', 'Harvey Guillén', 'Niko Vargas']"
The Mercenary,62.5,['Action'],"['Dominique Vandenberg', 'Louis Mandylor', 'Carmen Argenziano', 'Manny Alva', 'Brad Ashten', 'Robb Zbacnik', 'Jeremiah B. McQueen', 'Geordie Robinson', 'Alina Andrei']"
The Collective,53.0,"['Action', 'Thriller']","['Lucas Till', 'Ruby Rose', 'Tyrese Gibson', 'Don Johnson', 'Mercedes Varnado', 'Paul Ben-Victor', 'John Fiore', 'Levon Panek', 'Megan Danielle Gerald']"
The Velveteen Rabbit,76.0,"['Animation', 'Family', 'Fantasy']","['Phoenix Laroche', 'Ellie Mejia', 'Samantha Colley', 'Leonard Buckley', 'Conor Hamill', 'Paul Sparkes', 'Tilly Vosburgh', 'Kiefer Moriarty', ""Elizabeth O'Toole""]"
172 Days,45.0,"['Drama', 'Romance']","['Yasmin Napper', 'Bryan Domani', 'Abun Sungkar', 'Yoriko Angeline', 'Amara Sophie', 'Meisya Siregar', 'Messi Gusti', 'Oki Setiana Dewi', 'Cindy Fatika Sari']"
Spider-Man: Across the Spider-Verse,84.00999999999999,"['Animation', 'Action', 'Adventure', 'Science Fiction']","['Shameik Moore', 'Hailee Steinfeld', 'Jason Schwartzman', 'Oscar Isaac', 'Brian Tyree Henry', 'Luna Lauren Velez', 'Jake Johnson', 'Issa Rae', 'Karan Soni']"
Saw X,74.0,"['Horror', 'Thriller']","['Tobin Bell', 'Shawnee Smith', 'Synnøve Macody Lund', 'Steven Brand', 'Renata Vaca', 'Joshua Okamoto', 'Octavio Hinojosa Martínez', 'Paulette Hernández', 'Jorge Briseño']"
Spider-Man: No Way Home,79.86,"['Action', 'Adventure', 'Science Fiction']","['Tom Holland', 'Zendaya', 'Benedict Cumberbatch', 'Jacob Batalon', 'Jon Favreau', 'Jamie Foxx', 'Willem Dafoe', 'Alfred Molina', 'Benedict Wong']"
The Nun II,69.12,"['Horror', 'Mystery', 'Thriller']","['Taissa Farmiga', 'Jonas Bloquet', 'Storm Reid', 'Anna Popplewell', 'Bonnie Aarons', 'Katelyn Rose Downey', 'Suzanne Bertish', ""Léontine d'Oncieu"", 'Anouk Darwin Homewood']"
The Mongolian Connection,65.0,['Action'],"['Amarsaikhan Baljinnyam', 'Kaiwi Lyman', 'Sannjar Madi', 'Zhandos Aibassov', 'Tsetsegee Byamba', 'Kate Amundsen']"
Welcome al Norte,84.78999999999999,['Comedy'],"['Silverio Palacios', 'Ricardo Abarca', 'Isabel Burr', 'Héctor Jiménez', 'Paco Rueda', 'Amorita Rasgado', 'Raquel Garza']"
Retribution,69.88000000000001,"['Action', 'Thriller', 'Crime']","['Liam Neeson', 'Noma Dumezweni', 'Lilly Aspell', 'Jack Champion', 'Arian Moayed', 'Embeth Davidtz', 'Matthew Modine', 'Emily Kusche', 'Luca Márkus']"
Sound of Freedom,80.87,"['Action', 'Drama']","['Jim Caviezel', 'Mira Sorvino', 'Bill Camp', 'Gerardo Taracena', 'Kurt Fuller', 'José Zúñiga', 'Eduardo Verástegui', 'Scott Haze', 'Yessica Borroto Perryman']"
The Exorcist: Believer,61.92,['Horror'],"['Leslie Odom Jr.', 'Lidya Jewett', 'Olivia Marcum', 'Ann Dowd', 'Jennifer Nettles', 'Norbert Leo Butz', 'Okwui Okpokwasili', 'Raphael Sbarge', 'E.J. Bonilla']"
John Wick: Chapter 4,77.91,"['Action', 'Thriller', 'Crime']","['Keanu Reeves', 'Donnie Yen', 'Bill Skarsgård', 'Ian McShane', 'Laurence Fishburne', 'Lance Reddick', 'Clancy Brown', 'Hiroyuki Sanada', 'Rina Sawayama']"
The Hunger Games: Mockingjay - Part 1,68.03,"['Science Fiction', 'Adventure', 'Thriller']","['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Elizabeth Banks', 'Julianne Moore', 'Philip Seymour Hoffman', 'Jeffrey Wright', 'Stanley Tucci']"
The Flash,68.37,"['Action', 'Adventure', 'Science Fiction']","['Ezra Miller', 'Sasha Calle', 'Michael Keaton', 'Michael Shannon', 'Ron Livingston', 'Maribel Verdú', 'Kiersey Clemons', 'Antje Traue', 'Saoirse-Monica Jackson']"
All-Time High,58.0,"['Comedy', 'Romance']","['Nassim Lyes', 'Zoé Marchal', 'Ciryl Gane', 'Yassine Stein', 'Adrien Essamir', 'Eric Cullet', 'Yousef Ramal', 'Yovel Lewkowski', 'Guillaume Canet']"
Guardians of the Galaxy Vol. 3,80.07,"['Science Fiction', 'Adventure', 'Action']","['Chris Pratt', 'Zoe Saldaña', 'Dave Bautista', 'Karen Gillan', 'Pom Klementieff', 'Vin Diesel', 'Bradley Cooper', 'Sean Gunn', 'Chukwudi Iwuji']"
My Fault,80.89,"['Drama', 'Romance']","['Nicole Wallace', 'Gabriel Guevara', 'Marta Hazas', 'Iván Sánchez', 'Eva Ruiz', 'Víctor Varona', 'Fran Berenguer', 'Adriana Ubani', 'Iván Massagué']"
Puss in Boots: The Last Wish,83.0,"['Adventure', 'Fantasy', 'Animation', 'Comedy', 'Family', 'Action']","['Antonio Banderas', 'Salma Hayek Pinault', 'Harvey Guillén', 'Wagner Moura', 'Florence Pugh', 'Olivia Colman', 'Ray Winstone', 'Samson Kayo', 'John Mulaney']"
Avengers: Infinity War,82.52000000000001,"['Adventure', 'Action', 'Science Fiction']","['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Benedict Cumberbatch', 'Tom Holland', 'Chadwick Boseman', 'Don Cheadle']"
Mavka: The Forest Song,72.86,"['Animation', 'Adventure', 'Family', 'Fantasy']","['Nataliia Denysenko', 'Artem Pyvovarov', 'Nazar Zadniprovskyi', 'Oleh Skrypka', 'Olena Kravets', 'Serhii Prytula', 'Oleh Mykhailiuta', 'Nataliia Sumska', 'Julia Sanina']"
Hell House LLC Origins: The Carmichael Manor,60.0,"['Horror', 'Mystery']","['Bridget Rose Perrotta', 'Destiny Leilani Brown', 'James Liddell', 'Gideon Berger', 'Cayla Berejikian', 'Victoria Andrunik', 'Darin F. Earl II', 'Searra Sawka', 'Thomas J. Cipriano']"
Uri: The Surgical Strike,71.73,"['Action', 'Drama', 'War']","['Vicky Kaushal', 'Paresh Rawal', 'Yami Gautam', 'Kirti Kulhari', 'Mohit Raina', 'Dhairya Karwa', 'Rajit Kapoor', 'Ivan Rodrigues', 'Manasi Parekh']"
After Everything,70.32,"['Romance', 'Drama']","['Hero Fiennes Tiffin', 'Josephine Langford', 'Mimi Keene', 'Stephen Moyer', 'Louise Lombard', 'Arielle Kebbel', 'Carter Jenkins', 'Kiana Madeira', 'Rob Estes']"
Muzzle,66.57,"['Action', 'Crime', 'Drama', 'Thriller']","['Aaron Eckhart', 'Stephen Lang', 'Diego Tinoco', 'Leslie Black', 'Penelope Mitchell', 'Nick Searcy', 'Grainger Hines', 'Luis Chávez', 'Delissa Reynolds']"
Mousa,62.0,"['Action', 'Adventure', 'Science Fiction']","['Karim Mahmoud Abdel Aziz', 'Eyad Nassar', 'Asmaa Abu ElYazeed', 'Sabry Fawaz', 'Mohamed Lotfi', 'Mahmoud Hafez', 'Sara Elshamy', 'Ahmed Hatem', 'Ahmed ElAwadi']"
Last Night of Amore,72.33,"['Thriller', 'Crime']","['Pierfrancesco Favino', 'Linda Caridi', 'Antonio Gerardi', 'Francesco Di Leva', 'Wang Fifi', 'Katia Mironova', 'Carlo Gallo', 'Camilla Semino Favro', 'Martin Francisco Montero Baez']"
Babylon A.D.,56.0,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","['Vin Diesel', 'Michelle Yeoh', 'Mélanie Thierry', 'Lambert Wilson', 'Charlotte Rampling', 'Gérard Depardieu', 'Mark Strong', 'Jérôme Le Banner', 'David Belle']"
Reign of Chaos,37.0,"['Action', 'Horror', 'Fantasy']","['Rebecca Finch', 'Ray Whelan', 'Kate Milner Evans', 'Mark Sears', 'Peter Cosgrove', 'Carmina Cordelia', 'Mike Kelson', 'Kate Lush', 'Georgia Woodthorpe']"
How the Grinch Stole Christmas,67.48,"['Family', 'Comedy', 'Fantasy']","['Jim Carrey', 'Taylor Momsen', 'Jeffrey Tambor', 'Christine Baranski', 'Bill Irwin', 'Molly Shannon', 'Clint Howard', 'Josh Ryan Evans', 'Mindy Sterling']"
Talk to Me,72.03,"['Horror', 'Thriller']","['Sophie Wilde', 'Alexandra Jensen', 'Joe Bird', 'Otis Dhanji', 'Miranda Otto', 'Zoe Terakes', 'Chris Alosio', 'Marcus Johnson', 'Alexandria Steffensen']"
The Elevator,70.0,['Horror'],"['Chrissie Wunna', 'Alix Maxwell', 'George Nettleton', 'Danielle Scott', 'Osian Dixon', 'Louise Wildman', 'Harrison Thomas Boxley', 'Stephen Staley', 'Bao Tieu']"
Rally Road Racers,74.21000000000001,"['Animation', 'Family', 'Comedy']","['Jimmy O. Yang', 'Lisa Lu', 'Chloe Bennet', 'J.K. Simmons', 'Catherine Tate', 'Sharon Horgan', 'John Cleese', 'Kerry Shale', 'Naomi McDonald']"
The Monkey King: Reborn,71.0,"['Animation', 'Action', 'Fantasy', 'Family']","['Jiang Bian', 'Haiting Cai', 'Su Shangqing', 'Zhang Lei', 'He Zhang', 'Qiang Lin', 'Sicen Liu', 'Wang Chenguang', 'Zhongyang Baomu']"
The Mercator Trail,50.0,"['Adventure', 'Family']","['Nathan Naenen', 'Britt Scholte', 'Carry Goossens', 'Koen De Bouw', 'Nora Gharib', 'Carlos Schram', 'Jonas Van Thielen', 'Jolan de Bouw', 'Peter De Graef']"
Renegades,41.18000000000001,"['Action', 'Crime', 'Thriller']","['Nick Moran', 'Lee Majors', 'Ian Ogilvy', 'Patsy Kensit', 'Louis Mandylor', 'Michael Paré', 'Danny Trejo', 'Billy Murray', 'Paul Barber']"
Nowhere,75.34,"['Thriller', 'Drama']","['Anna Castillo', 'Tamar Novas', 'Irina Bravo', 'Victoria Teijeiro', 'Lucia Soria', 'Mary Ruiz', 'Tony Corvillo', 'Mariam Torres', 'Edu Bulnes']"
Indiana Jones and the Dial of Destiny,66.76,"['Adventure', 'Action']","['Harrison Ford', 'Phoebe Waller-Bridge', 'Mads Mikkelsen', 'Boyd Holbrook', 'Olivier Richters', 'Ethann Isidore', 'Toby Jones', 'Antonio Banderas', 'Karen Allen']"
The Night Crew,51.0,"['Thriller', 'Action', 'Mystery']","['Jason Mewes', 'Danny Trejo', 'Chasty Ballesteros', 'Luke Goss', 'Bokeem Woodbine', 'Christine Nguyen', 'Jacqueline Lord', ""Roberto 'Sanz' Sanchez"", 'Luciana Faulhaber']"
Aquaman and the Lost Kingdom,Not Rated,"['Action', 'Adventure', 'Fantasy']","['Jason Momoa', 'Patrick Wilson', 'Amber Heard', 'Yahya Abdul-Mateen II', 'Nicole Kidman', 'Dolph Lundgren', 'Randall Park', 'Temuera Morrison', 'Indya Moore']"
One Piece: Episode of Skypiea,71.83,"['Animation', 'Action', 'Adventure', 'Comedy']","['Mayumi Tanaka', 'Kazuya Nakai', 'Akemi Okamura', 'Kappei Yamaguchi', 'Hiroaki Hirata', 'Ikue Otani', 'Yuriko Yamaguchi', 'Rieko Takahashi', 'Masami Suzuki']"
Around the World in 80 Days,54.71,"['Animation', 'Family']","['Damien Frette', 'Julien Crampon', 'Kaycie Chase', 'Céline Ronté', 'Véronique Augereau']"
Radical,76.0,['Drama'],"['Eugenio Derbez', 'Daniel Haddad', 'Jennifer Trejo', 'Mia Fernanda Solis', 'Danilo Guardiola Escobar', 'Gilberto Barraza', 'Víctor Estrada', 'Manuel Márquez', 'Christian Gonzalez']"
Dashing Through the Snow,71.63,"['Fantasy', 'Family', 'Comedy']","['Lil Rel Howery', 'Ludacris', 'Madison Skye Validum', 'Teyonah Parris', 'Oscar Nunez', 'Ravi Patel', 'Gina Brillon', 'Marcus Lewis', 'Mary Lynn Rajskub']"
Elf Me,52.71,"['Family', 'Comedy', 'Fantasy', 'Adventure']","['Lillo Petrolo', 'Federico Ielapi', 'Anna Foglietta', 'Caterina Guzzanti', 'Claudio Santamaria', 'Giorgio Pasotti', 'Fabio Rovazzi', 'Francesco Liso', 'Cosimo Mazza']"
Black Panther: Wakanda Forever,71.69,"['Action', 'Adventure', 'Science Fiction']","['Letitia Wright', ""Lupita Nyong'o"", 'Danai Gurira', 'Winston Duke', 'Dominique Thorne', 'Tenoch Huerta Mejía', 'Angela Bassett', 'Florence Kasumba', 'Michaela Coel']"
Boudica,60.57000000000001,"['Action', 'War']","['Olga Kurylenko', 'Peter Franzén', 'Clive Standen', 'Lucy Martin', 'Nick Moran', 'James Faulkner', 'Rita Tushingham', 'Harry Kirton', 'Andy Beckwith']"
Inside Out,79.22,"['Animation', 'Family', 'Adventure', 'Drama', 'Comedy']","['Amy Poehler', 'Phyllis Smith', 'Bill Hader', 'Kaitlyn Dias', 'Richard Kind', 'Lewis Black', 'Mindy Kaling', 'Diane Lane', 'Kyle MacLachlan']"
Teenage Mutant Ninja Turtles: Mutant Mayhem,73.06,"['Animation', 'Comedy', 'Action', 'Science Fiction']","['Micah Abbey', 'Shamon Brown Jr.', 'Nicolas Cantu', 'Brady Noon', 'Ayo Edebiri', 'Maya Rudolph', 'John Cena', 'Seth Rogen', 'Rose Byrne']"
1962 Halloween Massacre,30.0,['Horror'],"['Ariel Ash', 'Caroline Beagles', 'Will Branner', 'William Jousset', 'Joan Milburn', 'Kyle Myhre', 'Benjamin Nowak', 'Jeremiah Wenutu']"
Gunfight at Rio Bravo,43.0,"['Western', 'Action']","['Alexander Nevsky', 'Olivier Gruner', 'Joe Cornet', 'Matthias Hues', 'Natalie Denise Sperl', 'Kerry Goodwin', 'Lee Dawson', 'John Marrs', 'Michael Paré']"
The Little Mermaid,64.84,"['Adventure', 'Family', 'Fantasy', 'Romance']","['Halle Bailey', 'Jonah Hauer-King', 'Daveed Diggs', 'Awkwafina', 'Jacob Tremblay', 'Noma Dumezweni', 'Javier Bardem', 'Melissa McCarthy', 'Art Malik']"
Black Adam,69.95,"['Action', 'Adventure', 'Science Fiction']","['Dwayne Johnson', 'Aldis Hodge', 'Noah Centineo', 'Sarah Shahi', 'Quintessa Swindell', 'Marwan Kenzari', 'Mo Amer', 'Bodhi Sabongui', 'Pierce Brosnan']"
Detective Conan: Black Iron Submarine,67.0,"['Animation', 'Action', 'Crime', 'Mystery']","['Minami Takayama', 'Wakana Yamazaki', 'Rikiya Koyama', 'Megumi Hayashibara', 'Shuichi Ikeda', 'Kazuhiko Inoue', 'Kenichi Ogata', 'Atsuko Yuya', 'Yukimasa Kishino']"
Jimmy Timmy Power Hour,70.09,"['Animation', 'Comedy', 'Family', 'Fantasy', 'TV Movie', 'Science Fiction']","['Debi Derryberry', 'Tara Strong', 'Megan Cavanagh', 'Mark DeCarlo', 'Rob Paulsen', 'Jeffrey Garcia', 'Carolyn Lawrence', 'Crystal Scales', 'Frank Welker']"
Interstellar,84.21,"['Adventure', 'Drama', 'Science Fiction']","['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain', 'Michael Caine', 'Bill Irwin', 'Ellen Burstyn', 'Mackenzie Foy', 'Casey Affleck', 'John Lithgow']"
Wedding Games,50.0,"['Comedy', 'Romance']","['Dandara Mariana', 'Dan Ferreira']"
